,azp,azpsa,som,maxp,geoid,arisel
0,6,1,0,0,06037101110,4
1,6,1,1,1,06037101122,4
2,6,1,0,2,06037101210,4
3,6,1,0,3,06037101220,4
4,6,1,1,4,06037101300,4
5,6,1,1,5,06037101400,4
6,6,1,1,6,06037102103,4
7,6,1,1,7,06037102104,4
8,9,1,3,8,06037102105,1
9,6,1,0,9,06037102107,4
10,6,1,1,10,06037103101,4
11,6,1,0,11,06037103102,4
12,6,6,0,12,06037103200,4
13,6,1,1,13,06037103300,4
14,6,1,1,14,06037103400,4
15,9,6,6,15,06037104103,1
16,9,6,6,16,06037104105,1
17,9,6,6,17,06037104108,1
18,6,6,4,18,06037104124,4
19,9,6,6,19,06037104201,1
20,9,6,6,20,06037104203,1
21,9,6,6,21,06037104204,1
22,9,6,6,22,06037104310,1
23,9,6,6,23,06037104320,1
24,9,6,6,24,06037104401,1
25,9,6,6,25,06037104403,1
26,9,6,6,26,06037104404,1
27,9,6,6,27,06037104500,1
28,9,6,6,28,06037104610,1
29,9,6,6,29,06037104620,1
30,9,6,6,30,06037104701,1
31,9,6,6,31,06037104703,1
32,9,6,6,32,06037104704,1
33,9,6,6,33,06037104810,1
34,9,6,6,34,06037104821,1
35,9,6,6,35,06037104822,1
36,9,6,3,36,06037106010,1
37,9,6,6,37,06037106020,1
38,9,6,3,38,06037106111,1
39,9,6,3,39,06037106112,1
40,9,6,3,40,06037106113,1
41,9,6,6,41,06037106114,1
42,9,6,6,42,06037106403,1
43,9,6,6,43,06037106405,1
44,9,6,3,44,06037106406,1
45,9,6,3,45,06037106407,1
46,9,6,6,46,06037106408,1
47,9,6,3,47,06037106510,1
48,9,6,6,48,06037106520,1
49,6,6,2,49,06037106603,4
50,9,6,6,50,06037106604,1
51,6,6,2,51,06037106641,4
52,6,6,1,52,06037106642,4
53,6,6,2,53,06037106643,4
54,6,6,2,54,06037106645,4
55,6,6,0,55,06037106646,4
56,9,6,6,56,06037106648,1
57,9,6,7,57,06037106649,1
58,9,6,6,58,06037107010,1
59,9,6,6,59,06037107020,1
60,6,6,2,60,06037108101,4
61,6,6,2,61,06037108102,4
62,6,6,2,62,06037108103,4
63,6,6,2,63,06037108104,4
64,6,6,5,64,06037108201,4
65,6,6,5,65,06037108202,4
66,9,6,3,66,06037109100,1
67,6,6,4,67,06037109200,4
68,6,6,4,68,06037109300,4
69,9,6,6,69,06037109400,1
70,9,6,6,70,06037109500,1
71,9,6,3,71,06037109601,1
72,9,6,3,72,06037109603,1
73,9,6,3,73,06037109604,1
74,6,6,4,74,06037109700,4
75,9,6,3,75,06037109800,1
76,6,6,4,76,06037111100,4
77,6,6,0,77,06037111201,4
78,6,6,0,78,06037111202,4
79,6,6,2,79,06037111204,4
80,6,6,8,80,06037111205,4
81,6,6,5,81,06037111206,4
82,6,6,4,82,06037111301,4
83,6,6,5,83,06037111302,4
84,6,6,4,84,06037111400,4
85,6,6,2,85,06037113101,4
86,6,6,2,86,06037113102,4
87,6,6,2,87,06037113211,4
88,6,6,5,88,06037113212,4
89,6,6,0,89,06037113213,4
90,6,6,2,90,06037113231,4
91,6,6,1,91,06037113232,4
92,6,6,3,92,06037113233,4
93,6,6,7,93,06037113234,4
94,6,6,1,94,06037113235,4
95,6,6,5,95,06037113237,4
96,6,6,1,96,06037113301,4
97,6,6,0,97,06037113303,4
98,6,6,4,98,06037113321,4
99,6,6,1,99,06037113322,4
100,6,6,4,100,06037113401,4
101,6,6,3,101,06037113421,4
102,6,6,8,102,06037113422,4
103,6,6,2,103,06037115101,4
104,6,6,8,104,06037115104,4
105,6,6,4,105,06037115201,4
106,6,6,0,106,06037115202,4
107,6,6,5,107,06037115301,4
108,6,6,6,108,06037115302,4
109,6,6,4,109,06037115401,4
110,6,6,3,110,06037115403,4
111,6,6,3,111,06037115404,4
112,9,6,8,112,06037117101,1
113,9,6,3,113,06037117102,1
114,9,6,3,114,06037117201,1
115,6,6,8,115,06037117202,4
116,6,6,4,116,06037117301,4
117,6,6,5,117,06037117302,4
118,6,6,4,118,06037117303,4
119,6,6,4,119,06037117404,4
120,9,6,6,120,06037117405,1
121,9,6,6,121,06037117407,1
122,9,6,6,122,06037117408,1
123,9,6,6,123,06037117510,1
124,9,6,6,124,06037117520,1
125,9,6,6,125,06037117530,1
126,9,1,7,126,06037119001,1
127,9,6,6,127,06037119002,1
128,9,6,6,128,06037119201,1
129,9,6,6,129,06037119202,1
130,9,6,3,130,06037119310,1
131,9,6,6,131,06037119320,1
132,9,6,7,132,06037119341,1
133,9,6,6,133,06037119342,1
134,9,6,6,134,06037119400,1
135,6,1,8,135,06037119700,4
136,9,6,6,136,06037119800,1
137,9,1,7,137,06037119900,1
138,9,1,6,138,06037120010,1
139,9,6,6,139,06037120020,1
140,9,6,6,140,06037120030,1
141,9,6,6,141,06037120104,1
142,9,6,6,142,06037120105,1
143,9,6,6,143,06037120106,1
144,9,6,6,144,06037120107,1
145,9,6,6,145,06037120108,1
146,9,1,7,146,06037120300,1
147,9,1,7,147,06037120400,1
148,9,1,3,148,06037121010,1
149,9,1,3,149,06037121020,1
150,9,1,3,150,06037121101,1
151,6,1,0,151,06037121102,1
152,9,1,6,152,06037121210,1
153,9,1,6,153,06037121221,1
154,9,1,6,154,06037121222,1
155,6,1,4,155,06037121600,4
156,9,1,3,156,06037121801,1
157,9,1,3,157,06037121802,1
158,9,1,6,158,06037121900,1
159,6,1,0,159,06037122000,4
160,9,1,6,160,06037122120,1
161,9,1,6,161,06037122121,1
162,9,1,6,162,06037122122,1
163,9,1,6,163,06037122200,1
164,9,1,6,164,06037122420,1
165,9,1,6,165,06037123010,1
166,9,1,6,166,06037123020,1
167,9,1,3,167,06037123103,1
